country,subnational1,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2012_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,tc_loss_ha_2023,tc_loss_ha_2024,gfw_forest_carbon_gross_emissions_2001__Mg_CO2e,gfw_forest_carbon_gross_emissions_2002__Mg_CO2e,gfw_forest_carbon_gross_emissions_2003__Mg_CO2e,gfw_forest_carbon_gross_emissions_2004__Mg_CO2e,gfw_forest_carbon_gross_emissions_2005__Mg_CO2e,gfw_forest_carbon_gross_emissions_2006__Mg_CO2e,gfw_forest_carbon_gross_emissions_2007__Mg_CO2e,gfw_forest_carbon_gross_emissions_2008__Mg_CO2e,gfw_forest_carbon_gross_emissions_2009__Mg_CO2e,gfw_forest_carbon_gross_emissions_2010__Mg_CO2e,gfw_forest_carbon_gross_emissions_2011__Mg_CO2e,gfw_forest_carbon_gross_emissions_2012__Mg_CO2e,gfw_forest_carbon_gross_emissions_2013__Mg_CO2e,gfw_forest_carbon_gross_emissions_2014__Mg_CO2e,gfw_forest_carbon_gross_emissions_2015__Mg_CO2e,gfw_forest_carbon_gross_emissions_2016__Mg_CO2e,gfw_forest_carbon_gross_emissions_2017__Mg_CO2e,gfw_forest_carbon_gross_emissions_2018__Mg_CO2e,gfw_forest_carbon_gross_emissions_2019__Mg_CO2e,gfw_forest_carbon_gross_emissions_2020__Mg_CO2e,gfw_forest_carbon_gross_emissions_2021__Mg_CO2e,gfw_forest_carbon_gross_emissions_2022__Mg_CO2e,gfw_forest_carbon_gross_emissions_2023__Mg_CO2e,gfw_forest_carbon_gross_emissions_2024__Mg_CO2e
Indonesia,Aceh,0,5683650,5683650,5683650,129164,18402,11039,11858,19315,26677,21392,24304,36867,69393,40897,47777,50225,44602,63050,35718,54064,49775,50240,31054,33716,34795,32777,43810,52495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Aceh,10,5683650,5090906,4996298,129164,18325,10988,11830,19213,26563,21326,24221,36785,69241,40821,47582,49582,41930,59577,34386,50990,46781,47054,29148,31009,32516,30495,40110,47497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Aceh,15,5683650,5050168,4946855,129164,18309,10974,11827,19187,26537,21311,24202,36770,69196,40802,47550,49526,41776,59276,34261,50711,46489,46775,28962,30750,32292,30263,39754,47042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Aceh,20,5683650,5029128,4932162,129164,18297,10966,11822,19168,26510,21299,24188,36753,69166,40787,47527,49478,41639,59025,34159,50498,46263,46546,28829,30574,32117,30095,39486,46720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Aceh,25,5683650,5014670,4908701,129164,18289,10961,11818,19156,26495,21295,24181,36746,69148,40779,47513,49451,41567,58898,34109,50373,46141,46416,28758,30474,32020,30014,39341,46528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Aceh,30,5683650,4984708,4879169,129164,18278,10952,11816,19138,26479,21284,24168,36734,69111,40757,47485,49396,41390,58555,33969,50074,45813,46111,28562,30225,31786,29785,38983,46071,10781164,6627106,8026562,11548791,17345183,13845766,15217238,24828757,44802236,25634918,31277948,31813634,24213932,36641364,20419815,29597570,26984846,27851704,17771125,18601460,18974147,16989501,23348363,28174569
Indonesia,Aceh,50,5683650,4865387,4716584,129164,18163,10872,11772,18913,26216,21160,24029,36597,68754,40588,47255,48967,40580,57122,33373,48737,44484,44807,27788,29194,30829,28874,37628,44282,10753690,6602565,8014492,11478585,17277796,13807720,15173845,24791922,44688145,25581007,31205631,31698316,23973518,36112370,20209715,29122951,26512542,27361072,17462940,18198939,18648172,16674395,22830928,27517947
Indonesia,Aceh,75,5683650,4516637,4360782,129164,17429,10365,11449,17645,24735,20191,23030,35555,66126,39169,45421,46308,35713,50092,29886,42783,39072,39277,24544,25220,26687,25036,31719,37230,10516468,6411011,7894827,10981841,16743909,13438239,14782553,24394252,43651127,25007627,30408496,30694096,22090484,33025503,18688911,26581202,24303168,24904708,15968848,16312090,16916321,15183764,20205951,24343374
Indonesia,Bali,0,559070,559070,559070,4012,430,319,181,381,241,521,509,232,384,203,273,1118,1043,2095,195,194,379,478,1200,212,276,350,1092,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Bali,10,559070,392005,416881,4012,425,314,179,373,238,517,505,230,380,201,222,769,464,1024,140,161,280,319,751,169,209,275,612,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Bali,15,559070,382739,403446,4012,425,313,179,372,238,517,504,230,378,199,218,760,442,984,138,159,276,315,736,167,207,272,599,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Bali,20,559070,377802,401646,4012,424,313,179,372,238,516,504,230,377,199,217,753,424,952,135,158,271,309,725,167,204,269,585,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Bali,25,559070,372071,397749,4012,424,312,179,371,237,515,504,229,377,199,216,749,413,933,134,158,266,306,718,166,201,266,576,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Bali,30,559070,365485,389702,4012,424,311,179,370,236,515,504,229,377,198,216,743,396,907,133,156,263,302,706,165,199,262,558,168,260325,190618,117400,219024,148261,321987,315182,146969,232894,125464,133383,452548,204263,508923,76643,96433,155514,161045,429538,109182,124862,168103,365681,110329
Indonesia,Bali,50,559070,339179,354362,4012,417,307,178,362,232,508,496,226,369,195,210,715,305,783,116,148,240,286,631,160,185,246,494,147,257906,188849,116765,215700,146671,319604,312753,145530,229762,123896,131230,440874,166232,456840,69748,93582,145659,153706,396466,106763,118422,161038,334362,101222
Indonesia,Bali,75,559070,276608,283879,4012,380,279,171,315,211,468,471,207,335,176,188,606,129,487,77,129,180,239,422,140,153,203,328,105,241903,175459,113567,195332,137171,301669,301325,137015,215008,115315,121368,389900,81007,309625,49831,84484,116830,130431,286802,96999,101769,137349,239630,77260
Indonesia,Bangka Belitung,0,1675803,1675803,1675803,93386,14214,11479,7298,22432,20102,20442,23437,22856,64249,23311,32686,40251,19320,45838,46280,62455,28913,26181,30855,29448,36578,40744,62738,37956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
